OKR1;Jan;Fev;Mar;Abril;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
META 1.1;Diego/Panca reunião via discord com a Vzan 20/01;Reuniçao Fiscal com revenda SDN / REunião PDV Universo;Reuniao sobre ecommerc Gustavo e TI Brasil;Treinamento revenda nova PDV, Nota e Retaguarda / Treinamento novo técnico Brvatech, realizado pelo panca e Rafael / treinamento fiscla agedata;1- Reunião brvatech;1- Treinamento desmontagem revenda Universo Sistemas;1- Reunião sobre desagregação Diego com a revenda agedata;REunião KMCI Zink centro de custos;1- Fly com a revenda SM10 sobre DRE;1- Zink treinamento produção e ficha tecnica Microx;1- livediego com gt alex;
META 1.2;338157 / 337349 / 337354 / 337344 /  Rafael: Vídeo gravado no dia 22/01 para o marketing.  Sobre aguardar venda e um geral do unimobile vendas. Dias: Video gravado no dia 21/01 para o marketing. Sobre itens rapidos. Diego Dica do especialista;1- 340042/ 2 - auxilio do Zink na nova CDU 2.0 / 3 -340461 4 - 341323 5- 342122 6 - 342122;1- 346143 / 2- 346162 / 3- 346172 / 4 - 346950 / 5 - 348238 / 6- 349335;1- 355389 / 2- 355390 / 3- 355667 4- via discord com o Leandro 30/04;1- NTFM254 - Diego  / 2- Doc cobrança escritural Fly / 3- 360934 / 4- 360932;1- NFs-e Diego prefeitura moderna / 2- Alteração doc catraca / 3- doc auto atendimento 4 - Validado doc do zink compartilhada para o RH sobre integração com colaboradores;1- Doc conferencia Diego  2- Documentação POS diego 3 e 4- FCS Diego ;"1- documentação ML diego/panca 2- Estorno fora do prazo Diego/Deividy 3- Rejeição 501 Diego/deividy 4- Correçõe EWOK Diego
";1- doc rejeição 930 diego 2 e 3 - Fugazza alteraçõe do cdu para kb links quebrados (ficha técnica, 'uniplus começe por aqui' ) 4 - documentação COMM236160 Diego 5-Doc validação do XML Diego e zink / 6- 384948;1- 390705 2- 392187 3-391679 4- 391427 5- 390157 6- 390153 7- 389835;1- 397920 2 - 399271 3- 399274;
;;;;;;;;;;;;
;;;;;;;;;;;;
